Signal_Date,Ticker,Analysis_Type,Reference_Price,Reference_DT,Signal,Threshold_pct,Entry_Price,Entry_DT,SG_Natural,SL_pct,SG_pct,SL_price,SG_price,Deduped
2025-08-07,^BVSP,open_vs_prev_open_trend_off_ew_on,133169.05,2025-08-06 10:00:00,SELL,2%,135832.43,2025-08-07 10:00:00,,0.01,0.0075,137190.75,134813.69,False
2025-08-07,^BVSP,open_vs_prev_open_trend_off_ew_on,133169.05,2025-08-06 10:00:00,SELL,2%,135832.43,2025-08-07 10:00:00,,0.01,0.01,137190.75,134474.11,False
2025-08-07,^BVSP,open_vs_prev_close_trend_off_ew_on,134637.97,2025-08-06 16:00:00,SELL,1%,135984.35,2025-08-07 10:00:00,,0.002,0.002,136256.32,135712.38,False
2025-08-07,^BVSP,open_vs_prev_close_trend_off_ew_on,134637.97,2025-08-06 16:00:00,SELL,1%,135984.35,2025-08-07 10:00:00,,0.002,0.005,136256.32,135304.43,False
2025-08-07,^BVSP,open_vs_prev_close_trend_off_ew_on,134637.97,2025-08-06 16:00:00,SELL,1%,135984.35,2025-08-07 10:00:00,,0.002,0.0075,136256.32,134964.47,False
2025-08-07,^BVSP,open_vs_prev_close_trend_off_ew_on,134637.97,2025-08-06 16:00:00,SELL,1%,135984.35,2025-08-07 10:00:00,,0.002,0.01,136256.32,134624.51,False
2025-08-07,^BVSP,open_vs_prev_close_trend_off_ew_on,134637.97,2025-08-06 16:00:00,SELL,1%,135984.35,2025-08-07 10:00:00,,0.005,0.002,136664.27,135712.38,False
2025-08-07,^BVSP,open_vs_prev_close_trend_off_ew_on,134637.97,2025-08-06 16:00:00,SELL,1%,135984.35,2025-08-07 10:00:00,,0.005,0.005,136664.27,135304.43,False
2025-08-07,^BVSP,open_vs_prev_close_trend_off_ew_on,134637.97,2025-08-06 16:00:00,SELL,1%,135984.35,2025-08-07 10:00:00,,0.005,0.0075,136664.27,134964.47,False
2025-08-07,^BVSP,open_vs_prev_close_trend_off_ew_on,134637.97,2025-08-06 16:00:00,SELL,1%,135984.35,2025-08-07 10:00:00,,0.005,0.01,136664.27,134624.51,False
