Signal_Date,Ticker,Analysis_Type,Reference_Price,Reference_DT,Signal,Threshold_pct,Entry_Price,Entry_DT,SG_Natural,SL_pct,SG_pct,SL_price,SG_price,Deduped
2025-01-02,^BVSP,open_vs_prev_max_vol_close,120768.49,2024-12-30 10:00:00,BUY,1%,119560.81,2025-01-02 10:00:00,,0.002,0.002,119321.69,119799.93,False
2025-01-02,^BVSP,open_vs_prev_max_vol_close,120768.49,2024-12-30 10:00:00,BUY,1%,119560.81,2025-01-02 10:00:00,,0.002,0.005,119321.69,120158.61,False
2025-01-02,^BVSP,open_vs_prev_max_vol_close,120768.49,2024-12-30 10:00:00,BUY,1%,119560.81,2025-01-02 10:00:00,,0.002,0.0075,119321.69,120457.52,False
2025-01-02,^BVSP,open_vs_prev_max_vol_close,120768.49,2024-12-30 10:00:00,BUY,1%,119560.81,2025-01-02 10:00:00,,0.005,0.002,118963.01,119799.93,False
2025-01-02,^BVSP,open_vs_prev_max_vol_close,120768.49,2024-12-30 10:00:00,BUY,1%,119560.81,2025-01-02 10:00:00,,0.005,0.005,118963.01,120158.61,False
2025-01-02,^BVSP,open_vs_prev_max_vol_close,120768.49,2024-12-30 10:00:00,BUY,1%,119560.81,2025-01-02 10:00:00,,0.005,0.0075,118963.01,120457.52,False
2025-01-02,^BVSP,open_vs_prev_max_vol_close,120768.49,2024-12-30 10:00:00,BUY,1%,119560.81,2025-01-02 10:00:00,,0.0075,0.002,118664.1,119799.93,False
2025-01-02,^BVSP,open_vs_prev_max_vol_close,120768.49,2024-12-30 10:00:00,BUY,1%,119560.81,2025-01-02 10:00:00,,0.0075,0.005,118664.1,120158.61,False
2025-01-02,^BVSP,open_vs_prev_max_vol_close,120768.49,2024-12-30 10:00:00,BUY,1%,119560.81,2025-01-02 10:00:00,,0.0075,0.0075,118664.1,120457.52,False
2025-01-02,^BVSP,open_vs_prev_close,120450.79,2024-12-30 16:00:00,BUY,1%,119246.28,2025-01-02 11:00:00,,0.002,0.002,119007.79,119484.77,False
2025-01-02,^BVSP,open_vs_prev_close,120450.79,2024-12-30 16:00:00,BUY,1%,119246.28,2025-01-02 11:00:00,,0.002,0.005,119007.79,119842.51,False
2025-01-02,^BVSP,open_vs_prev_close,120450.79,2024-12-30 16:00:00,BUY,1%,119246.28,2025-01-02 11:00:00,,0.002,0.0075,119007.79,120140.63,False
2025-01-02,^BVSP,open_vs_prev_close,120450.79,2024-12-30 16:00:00,BUY,1%,119246.28,2025-01-02 11:00:00,,0.005,0.002,118650.05,119484.77,False
2025-01-02,^BVSP,open_vs_prev_close,120450.79,2024-12-30 16:00:00,BUY,1%,119246.28,2025-01-02 11:00:00,,0.005,0.005,118650.05,119842.51,False
2025-01-02,^BVSP,open_vs_prev_close,120450.79,2024-12-30 16:00:00,BUY,1%,119246.28,2025-01-02 11:00:00,,0.005,0.0075,118650.05,120140.63,False
2025-01-02,^BVSP,open_vs_prev_close,120450.79,2024-12-30 16:00:00,BUY,1%,119246.28,2025-01-02 11:00:00,,0.0075,0.002,118351.93,119484.77,False
2025-01-02,^BVSP,open_vs_prev_close,120450.79,2024-12-30 16:00:00,BUY,1%,119246.28,2025-01-02 11:00:00,,0.0075,0.005,118351.93,119842.51,False
2025-01-02,^BVSP,open_vs_prev_close,120450.79,2024-12-30 16:00:00,BUY,1%,119246.28,2025-01-02 11:00:00,,0.0075,0.0075,118351.93,120140.63,False
2025-01-03,^BVSP,open_vs_prev_open,120283.4,2025-01-02 10:00:00,BUY,1%,119080.57,2025-01-03 13:00:00,,0.002,0.002,118842.41,119318.73,False
2025-01-03,^BVSP,open_vs_prev_open,120283.4,2025-01-02 10:00:00,BUY,1%,119080.57,2025-01-03 13:00:00,,0.002,0.005,118842.41,119675.97,False
2025-01-03,^BVSP,open_vs_prev_open,120283.4,2025-01-02 10:00:00,BUY,1%,119080.57,2025-01-03 13:00:00,,0.002,0.0075,118842.41,119973.67,False
2025-01-03,^BVSP,open_vs_prev_open,120283.4,2025-01-02 10:00:00,BUY,1%,119080.57,2025-01-03 13:00:00,,0.005,0.002,118485.17,119318.73,False
2025-01-03,^BVSP,open_vs_prev_open,120283.4,2025-01-02 10:00:00,BUY,1%,119080.57,2025-01-03 13:00:00,,0.005,0.005,118485.17,119675.97,False
2025-01-03,^BVSP,open_vs_prev_open,120283.4,2025-01-02 10:00:00,BUY,1%,119080.57,2025-01-03 13:00:00,,0.005,0.0075,118485.17,119973.67,False
2025-01-03,^BVSP,open_vs_prev_open,120283.4,2025-01-02 10:00:00,BUY,1%,119080.57,2025-01-03 13:00:00,,0.0075,0.002,118187.47,119318.73,False
2025-01-03,^BVSP,open_vs_prev_open,120283.4,2025-01-02 10:00:00,BUY,1%,119080.57,2025-01-03 13:00:00,,0.0075,0.005,118187.47,119675.97,False
2025-01-03,^BVSP,open_vs_prev_open,120283.4,2025-01-02 10:00:00,BUY,1%,119080.57,2025-01-03 13:00:00,,0.0075,0.0075,118187.47,119973.67,False
2025-01-03,^BVSP,open_vs_prev_close,120106.76,2025-01-02 16:00:00,BUY,1%,118905.69,2025-01-03 13:00:00,,0.002,0.002,118667.88,119143.5,False
2025-01-03,^BVSP,open_vs_prev_close,120106.76,2025-01-02 16:00:00,BUY,1%,118905.69,2025-01-03 13:00:00,,0.002,0.005,118667.88,119500.22,False
2025-01-03,^BVSP,open_vs_prev_close,120106.76,2025-01-02 16:00:00,BUY,1%,118905.69,2025-01-03 13:00:00,,0.002,0.0075,118667.88,119797.48,False
2025-01-03,^BVSP,open_vs_prev_close,120106.76,2025-01-02 16:00:00,BUY,1%,118905.69,2025-01-03 13:00:00,,0.005,0.002,118311.16,119143.5,False
